timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1775732052.7913659,2000,207,4.078723907470703,3.6765265464782715,5.160994052886963,2.637042284011841,2.3321096897125244,3.561509847640991,4.094466686248779,5.0912184715271,2.6007161140441895,2.235750436782837
1775732053.7850127,2250,201,3.889253854751587,3.6454238891601562,5.162962913513184,2.5332658290863037,2.2567808628082275,2.981656074523926,4.081749439239502,5.084212303161621,2.537680149078369,2.230003833770752
1775732054.8111796,2500,195,3.8344767093658447,3.6329097747802734,5.1632866859436035,2.5015153884887695,2.220930337905884,2.880272150039673,4.077869415283203,5.080158710479736,2.5143749713897705,2.2231457233428955
1775732055.7954383,2750,189,3.6994917392730713,3.6071224212646484,5.164318561553955,2.4351274967193604,2.168363332748413,2.3871824741363525,4.066918849945068,5.076135158538818,2.480511426925659,2.215043783187866
1775732056.8096676,3000,183,3.6945667266845703,3.6027486324310303,5.163541793823242,2.445655584335327,2.163713216781616,2.252891778945923,4.063750267028809,5.076765060424805,2.4697911739349365,2.209951639175415
1775732057.8095412,3250,177,3.669635534286499,3.5972089767456055,5.161839008331299,2.4507644176483154,2.15724778175354,2.110931396484375,4.05767297744751,5.078196048736572,2.4696848392486572,2.1955249309539795
1775732058.7975307,3500,171,3.6624844074249268,3.596588134765625,5.159414768218994,2.461705446243286,2.1445939540863037,2.276902437210083,4.055897235870361,5.0757737159729,2.451786994934082,2.1765270233154297
1775732059.7851794,3750,165,3.6730880737304688,3.592608690261841,5.158659934997559,2.468787908554077,2.1488072872161865,2.360704183578491,4.051580905914307,5.072210311889648,2.4461886882781982,2.15462064743042
1775732060.839013,4000,159,3.8823623657226562,3.6219112873077393,5.159507751464844,2.5845751762390137,2.2109737396240234,2.9289119243621826,4.048932075500488,5.070158004760742,2.5069339275360107,2.1715221405029297
1775732061.8235767,4250,153,4.098869800567627,3.652499198913574,5.160826206207275,2.6961252689361572,2.269137144088745,3.3917362689971924,4.0449910163879395,5.069815158843994,2.5677366256713867,2.1856529712677
1775732062.8218155,4500,147,4.295619010925293,3.6869356632232666,5.1589131355285645,2.8105640411376953,2.316816568374634,3.974076986312866,4.045592784881592,5.07036828994751,2.641885995864868,2.1873161792755127
1775732063.7977142,4750,141,4.311668872833252,3.692070245742798,5.156606197357178,2.8128621578216553,2.3166520595550537,3.9807469844818115,4.048953533172607,5.069136142730713,2.6281871795654297,2.157097816467285
1775732064.793933,5000,135,4.315382480621338,3.6921226978302,5.155395984649658,2.813783884048462,2.318368911743164,3.9902114868164062,4.050388336181641,5.0684380531311035,2.6261298656463623,2.125805139541626
1775732065.791493,5250,129,4.312774181365967,3.6908257007598877,5.1567559242248535,2.811020612716675,2.318549394607544,3.9822309017181396,4.049313545227051,5.0683770179748535,2.6217730045318604,2.1209142208099365
1775732066.828743,5500,123,4.310654163360596,3.6925742626190186,5.158601760864258,2.8162567615509033,2.3237106800079346,3.9817278385162354,4.046747207641602,5.069571018218994,2.63081955909729,2.1252939701080322
