timestamp,sample_count,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
1776940423.4029605,2000,-11.372249603271484,-11.344106674194336,-11.529743194580078,-11.200542449951172,-12.39657211303711,-11.170026779174805,-11.264547348022461,-11.376174926757812,-11.118083000183105,-12.302247047424316
1776940424.4034479,2500,-11.368783950805664,-11.457622528076172,-11.504777908325195,-11.21216869354248,-12.39657211303711,-11.225030899047852,-11.373080253601074,-11.37211799621582,-11.129487991333008,-12.323756217956543
1776940425.4029455,3000,-11.399727821350098,-11.52734375,-11.527412414550781,-11.218738555908203,-12.379551887512207,-11.29153823852539,-11.436861991882324,-11.408283233642578,-11.138809204101562,-12.291966438293457
1776940426.4028234,3500,-11.415363311767578,-11.562661170959473,-11.501457214355469,-11.214320182800293,-12.36075496673584,-11.34024715423584,-11.479928016662598,-11.382651329040527,-11.135636329650879,-12.266336441040039
1776940427.4028647,4000,-11.364001274108887,-11.498213768005371,-11.471073150634766,-11.239297866821289,-12.344793319702148,-11.304282188415527,-11.412513732910156,-11.346441268920898,-11.162518501281738,-12.244959831237793
1776940428.4030452,4500,-11.350616455078125,-11.468901634216309,-11.42046070098877,-11.250792503356934,-12.259747505187988,-11.313555717468262,-11.376531600952148,-11.295858383178711,-11.176438331604004,-12.15951156616211
1776940429.4031608,5000,-11.327964782714844,-11.374316215515137,-11.380964279174805,-11.24569034576416,-12.187585830688477,-11.27746295928955,-11.278607368469238,-11.248461723327637,-11.175328254699707,-12.07716178894043
1776940430.4032643,5500,-11.264017105102539,-11.266304016113281,-11.331563949584961,-11.240621566772461,-12.126115798950195,-11.19173526763916,-11.165616989135742,-11.181595802307129,-11.174626350402832,-12.016748428344727
1776940431.4029953,6000,-11.261495590209961,-11.194770812988281,-11.349458694458008,-11.248690605163574,-12.059793472290039,-11.153241157531738,-11.079755783081055,-11.189253807067871,-11.186286926269531,-11.948385238647461
1776940432.403189,6500,-11.343670845031738,-11.208246231079102,-11.382349014282227,-11.239356994628906,-12.053567886352539,-11.218401908874512,-11.090692520141602,-11.220451354980469,-11.181293487548828,-11.932718276977539
1776940433.402933,7000,-11.348161697387695,-11.236445426940918,-11.410944938659668,-11.24620246887207,-12.091744422912598,-11.227521896362305,-11.114450454711914,-11.24821949005127,-11.189457893371582,-11.955804824829102
1776940434.402772,7500,-11.374269485473633,-11.28433895111084,-11.453104972839355,-11.264263153076172,-12.119451522827148,-11.256211280822754,-11.157045364379883,-11.289932250976562,-11.205049514770508,-11.97062873840332
1776940435.4029884,8000,-11.417750358581543,-11.329477310180664,-11.464651107788086,-11.279397964477539,-12.164297103881836,-11.294281005859375,-11.20181941986084,-11.315381050109863,-11.219230651855469,-12.006365776062012
1776940436.4032297,8500,-11.403406143188477,-11.350347518920898,-11.409974098205566,-11.286849975585938,-12.221794128417969,-11.276594161987305,-11.223653793334961,-11.276864051818848,-11.228918075561523,-12.052628517150879
1776940437.4030724,9000,-11.398836135864258,-11.416475296020508,-11.332125663757324,-11.30773639678955,-12.238371849060059,-11.25504207611084,-11.291956901550293,-11.218008041381836,-11.254827499389648,-12.074201583862305
1776940438.4031441,9500,-11.45323657989502,-11.457674026489258,-11.251791000366211,-11.32243537902832,-12.274009704589844,-11.317949295043945,-11.337483406066895,-11.15222454071045,-11.278564453125,-12.114397048950195
1776940439.4031432,10000,-11.44589900970459,-11.497831344604492,-11.15452766418457,-11.33205509185791,-12.304615020751953,-11.319413185119629,-11.39020824432373,-11.064879417419434,-11.296242713928223,-12.151179313659668
1776940440.403027,10500,-11.442237854003906,-11.51901626586914,-11.089567184448242,-11.356270790100098,-12.329229354858398,-11.333980560302734,-11.418601989746094,-11.000861167907715,-11.320808410644531,-12.186805725097656
1776940441.4027774,11000,-11.380685806274414,-11.502799034118652,-11.075727462768555,-11.391252517700195,-12.356497764587402,-11.295965194702148,-11.404812812805176,-10.976353645324707,-11.350075721740723,-12.227598190307617
1776940442.4029267,11500,-11.307310104370117,-11.429882049560547,-11.11693286895752,-11.409963607788086,-12.369271278381348,-11.246783256530762,-11.330866813659668,-11.009387016296387,-11.358255386352539,-12.253096580505371
1776940443.4030006,12000,-11.211220741271973,-11.385653495788574,-11.197733879089355,-11.453739166259766,-12.380501747131348,-11.143636703491211,-11.284788131713867,-11.097990036010742,-11.393000602722168,-12.276689529418945
